J,mult,p_collapse,p_rigidity,p_fragmentation,p_mixed,mean_final_m,mean_final_wealth
0.5,20,1.0,0.01,0.52,0.47,0.0026958170512916034,0.0
0.5,30,1.0,0.01,0.59,0.4,0.08250096093214442,0.0
0.5,40,1.0,0.0,0.53,0.47,-0.06050531037272475,0.25292409232597474
0.5,50,0.61,0.0,0.38,0.23,0.7467166372978453,731.389258088289
0.5,60,0.05,0.0,0.02,0.03,0.9775504804109326,1465.6569261008249
0.5,70,0.0,0.0,0.0,0.0,0.9811207571854531,1970.7371819333423
0.5,80,0.0,0.0,0.0,0.0,0.9918499001515119,2466.7973263189547
0.5,90,0.0,0.0,0.0,0.0,0.9836823504012006,2963.2904407431024
0.5,100,0.0,0.0,0.0,0.0,0.9715893862747726,3457.3510111658925
1.0,20,1.0,0.01,0.38,0.61,0.006153250225962474,0.0
1.0,30,1.0,0.02,0.44,0.54,0.07419692654297493,0.0
1.0,40,1.0,0.02,0.49,0.49,0.05081100697108906,2.3591144341716785
1.0,50,0.34,0.0,0.18,0.16,0.9609881776853577,953.6998122840124
1.0,60,0.03,0.0,0.01,0.02,0.9773173489445486,1467.6752499449005
1.0,70,0.0,0.0,0.0,0.0,0.979532662591472,1972.367820535138
1.0,80,0.0,0.0,0.0,0.0,0.9906583712791088,2465.5441925668392
1.0,90,0.0,0.0,0.0,0.0,0.9841559624336689,2962.825377351301
1.0,100,0.0,0.0,0.0,0.0,0.9854686785347903,3461.005470946747
1.5,20,1.0,0.0,0.4,0.6,-0.08245233067533833,0.0
1.5,30,1.0,0.07,0.31,0.62,0.02632612363513371,0.0
1.5,40,0.98,0.09,0.3,0.59,0.13652950509449463,43.8007172092144
1.5,50,0.18,0.0,0.03,0.15,0.9601423850733966,959.1581421061005
1.5,60,0.08,0.01,0.05,0.02,0.981817036019356,1473.2999965414886
1.5,70,0.01,0.0,0.0,0.01,0.9867428540307257,1970.9458669934302
1.5,80,0.0,0.0,0.0,0.0,0.9853139543163397,2463.8544979635767
